alpha,mean_tau,median_tau,std_tau,mean_tau_frac,median_tau_frac,p25_tau_frac,p75_tau_frac,n_abstained,seed,dataset_key
0.4,229.72685185185185,71.0,319.0761721451947,0.24151684307980592,0.09138854471912469,0.02528890679504702,0.40771419661651204,864,1,olympiadMath_qwen
0.5,187.5861111111111,39.0,278.3174978723285,0.1985898258295419,0.052397214410070975,0.01740394329750745,0.31132324284529755,1080,1,olympiadMath_qwen
0.6,126.61651234567901,17.0,230.00515695814835,0.13803191898729417,0.021768747778699207,0.00972585350170913,0.15453169197612926,1296,1,olympiadMath_qwen
0.7,76.39087301587301,9.0,168.88850771556744,0.09363269475103261,0.009965834667029886,0.0024961005725386907,0.07179200969034558,1512,1,olympiadMath_qwen
0.8,61.851851851851855,3.0,143.45270399545518,0.08531089040349504,0.004801927688618336,0.0,0.04697512762028891,1728,1,olympiadMath_qwen
0.9,57.32921810699588,2.0,145.06649053853346,0.08748189263519199,0.002044989775051125,0.0,0.0334405560119789,1944,1,olympiadMath_qwen
0.1,386.8009259259259,305.0,455.1810000174881,0.42852807276207755,0.39035842153787015,0.20127472943552205,0.6968027180715293,216,2,olympiadMath_qwen
0.2,367.0763888888889,228.0,471.30825231664966,0.38915616266782493,0.32079260111175,0.12052287581699346,0.6474929471842302,432,2,olympiadMath_qwen
0.3,308.87808641975306,169.5,386.24344928087464,0.3265421649753165,0.23434964641011305,0.06170510132774283,0.5384102971244616,648,2,olympiadMath_qwen
0.4,243.53587962962962,101.0,318.1392676487132,0.26269666306916795,0.12795834008753443,0.02926343448042041,0.4436183953621099,864,2,olympiadMath_qwen
0.5,191.17314814814816,42.0,281.7362350334616,0.20349745128684504,0.054631247631479224,0.01617800705237038,0.3193062492625949,1080,2,olympiadMath_qwen
0.6,138.3047839506173,21.0,242.9185718912953,0.15152366903955575,0.026309352817502445,0.009670609751352192,0.18558450704225354,1296,2,olympiadMath_qwen
0.7,97.51058201058201,10.0,202.82906151461472,0.11576907895203696,0.011699759326113116,0.003158311779568526,0.08956220236679027,1512,2,olympiadMath_qwen
0.8,71.98263888888889,6.0,158.4495689558527,0.09680395594551257,0.006791173652142275,0.001443001443001443,0.06027593457042552,1728,2,olympiadMath_qwen
0.9,60.32561728395062,2.0,135.98440982011553,0.09382887447493196,0.0022448498835373897,0.0,0.042484848484848486,1944,2,olympiadMath_qwen
0.1,486.77314814814815,296.0,567.1215571420948,0.4449675762286638,0.4140410592340462,0.15155717498381557,0.7223173515981736,216,3,olympiadMath_qwen
0.2,379.34722222222223,233.0,435.8331100399542,0.38018908931715234,0.3037940485981564,0.10260168423251062,0.6299283154121864,432,3,olympiadMath_qwen
0.3,319.7716049382716,188.0,374.12905073133237,0.3321744065009836,0.2435169082125604,0.06951492395797777,0.5831403157895807,648,3,olympiadMath_qwen
0.4,264.66435185185185,146.0,323.8184945813214,0.27842008935024887,0.1849260700389105,0.0462460959925001,0.4423918288384367,864,3,olympiadMath_qwen
0.5,214.4138888888889,78.0,286.2927955906309,0.22721584964359068,0.09036085928148857,0.022229346046344606,0.37446200245044137,1080,3,olympiadMath_qwen
0.6,169.80324074074073,34.0,244.51598830931346,0.1870158208118649,0.04938917925777149,0.013473748542843238,0.29785234134670163,1296,3,olympiadMath_qwen
0.7,102.1329365079365,10.0,200.11583001632567,0.1229042489938989,0.01502002837562103,0.0023733227635218688,0.122449151990114,1512,3,olympiadMath_qwen
0.8,78.26793981481481,5.0,160.98781610764055,0.10971058959819668,0.005398805107958753,0.0012987012987012987,0.0988940855085304,1728,3,olympiadMath_qwen
0.9,53.30298353909465,1.0,123.74835606568105,0.08360417786486656,0.0014825805033520166,0.0,0.044475394614670385,1944,3,olympiadMath_qwen
0.1,279.02314814814815,191.5,318.12950778483673,0.347864143869516,0.28400926818648337,0.11801707077178084,0.5686001038433071,216,4,olympiadMath_qwen
